PROD,"('2012-08-30', 'AVGPRICE')","('2012-10-10', 'AVGPRICE')","('2012-11-01', 'AVGPRICE')","('2012-11-30', 'AVGPRICE')","('2013-01-01', 'AVGPRICE')","('2013-02-01', 'AVGPRICE')","('2013-03-01', 'AVGPRICE')","('2013-04-01', 'AVGPRICE')","('2013-05-01', 'AVGPRICE')","('2013-06-01', 'AVGPRICE')","('2013-07-01', 'AVGPRICE')","('2013-08-01', 'AVGPRICE')"
P291432,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P291441,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P291443,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,
P291516,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,
P291517,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P291519,,,,,,,,,,,,18.0
P291809,18.0,18.0,,,,,,,,,,
P291904,5.0,,,,,,,,,,,
P291905,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
P291906,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,
P291910,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0
P292001,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,9.5,7.25,7.25,7.25
P292002,,19.5,19.5,,10.0,10.0,,,,,,
P292003,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
P292004,,,,,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
P292005,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P292006,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P292009,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P292015,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P292016,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P292202,10.0,10.0,,,,,,,,,,
P292303,,,,,,19.0,19.0,,,,,
P292304,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P292306,3.0,5.0,5.0,,,5.0,,,,,,
P292308,12.0,12.0,12.0,,12.0,12.0,12.0,12.0,,12.0,,
P292310,12.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
P292312,16.2,,,,,,,,,,,
P292402,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0
P292817,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P292818,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P293005,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P293008,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P293104,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P293106,14.0,14.0,14.0,14.0,14.0,14.0,14.0,12.5,14.0,14.0,10.0,10.0
P293204,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25,19.25
P293519,10.0,10.0,10.0,10.0,10.0,,,,,,,
P293606,19.5,19.5,19.5,19.5,19.5,19.5,19.5,,,,19.5,19.5
P294206,19.0,19.0,,,,,,,,,,
P294316,,,,,,,,,,15.0,15.0,
P294413,,,,,,,19.0,19.0,,,,
P294707,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
P294708,12.0,12.0,,,12.0,12.0,12.0,12.0,12.0,12.0,,
P294721,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,,
P294722,14.0,9.5,9.5,9.5,9.5,10.5,10.5,10.5,10.5,10.5,,
P294723,14.0,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P294724,11.5,11.5,11.5,11.5,11.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
P294725,18.0,18.0,18.0,18.0,18.0,,,,,,,
P294727,18.0,18.0,18.0,18.0,18.0,,,,,,,
P294728,18.0,18.0,18.0,18.0,18.0,,,,,,,
P294729,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,,
P294731,7.5,7.5,7.5,7.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
P294732,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P294737,16.0,16.0,16.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,3.0
P294738,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
P294747,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P294748,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,
P294749,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,
P294750,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P294753,18.0,18.0,18.0,18.0,18.0,,,,,,,
P294800,9.0,9.0,,,,,,,,,,
P294801,9.0,9.0,9.0,19.0,19.0,19.0,19.0,,,,,
P294802,9.0,9.0,9.0,19.0,19.0,19.0,19.0,,,,,
P294806,,,,,,,19.0,19.0,,,,
P294807,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P294808,,,,,,,,,,15.0,,
P295218,19.95,19.95,19.95,19.95,,,,,,,,
P295230,,,,,,,,,9.0,,,
P295232,15.0,15.0,15.0,15.0,15.0,,15.0,,,15.0,15.0,
P295484,9.0,9.0,9.0,19.0,19.0,19.0,19.0,19.0,,,,
P295485,9.0,9.0,9.0,19.0,19.0,19.0,19.0,,,,,
P295486,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,
P295600,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P296010,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
P296100,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
P296101,9.0,,,,,,,,,,,
P296109,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,
P296224,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,
P296228,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P296230,,,,,,,,,,,13.5,13.5
P296232,,,,,,,,,,,14.5,14.5
P296843,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P296845,12.0,,,,,,,,,,,
P296850,9.0,,,,,,,,,,,
P296852,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0
P297102,15.0,,,,,,,,,,,
P297121,9.0,,,,,,,,,,,
P297124,15.0,,,,,,,,,,,
P297125,8.0,8.0,,,,,,,,,,
P297132,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.5,11.5,11.5,16.0
P297134,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
P297136,,,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
P297137,15.0,,,,,,,,,,,
P297303,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
P297313,10.0,,,,,,,,,,,
P297318,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,
P297319,,,,,,,,,6.0,,6.0,
P297320,10.0,,,,,,,,,,,
P297325,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,
P297517,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
P297539,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
P297549,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,
P298005,16.0,16.0,16.0,16.0,,,,,,,,
P298301,18.0,18.0,18.0,18.0,,,,,,,,
P298327,10.0,10.0,10.0,10.0,10.0,,,,10.0,10.0,,
P298603,,,,,14.0,,,,,,,
P298740,15.0,15.0,,15.0,,,,,,14.5,,
P298741,11.0,10.0,,,,,,,,,,
P298742,18.0,,,,,,,,,,,
P298743,15.0,,,,,,,,,,,
P298803,12.0,12.0,12.0,12.0,12.0,,,,,,,
P298910,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
P299435,14.0,14.0,5.0,,5.0,5.0,5.0,5.0,5.0,,,
P299438,10.0,,,,,,,,,,,
P299543,18.0,18.0,,,,,,,,,,
P299606,8.5,8.5,8.5,8.5,8.5,8.5,12.0,12.0,12.0,12.0,12.0,12.0
P299607,16.0,,,,,,,,,16.0,,
P299703,18.0,,,,,,,,,,,
P299705,18.0,,,,,,,,,,,
P299851,18.0,,,,,,,,,,,
P299852,18.0,18.0,18.0,18.0,,,,,,,,
P299853,5.0,,,,,,,,,,,
P299854,5.0,,,,,,,,,,,
P300333,,,,,10.0,,,,,,,
P300334,,,,,10.0,,,,,,,
P300511,10.0,,,,,,,,,,,
P300601,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P300602,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P300603,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
P300700,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
P300702,15.0,15.0,15.0,15.0,,,,,,,,
P301007,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,
P301202,,,,,,,,10.0,,10.0,,
P302632,12.0,12.0,12.0,12.0,12.0,,,,,,,
P302912,18.0,18.0,18.0,18.0,,,,,,,,
P302924,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0
P303014,10.0,10.0,10.0,10.0,10.0,,,,,,,
P303018,10.0,10.0,10.0,10.0,,,,,,,,
P303019,16.0,16.0,16.0,16.0,,,,,,,,
P303100,19.0,19.0,19.0,19.0,,,,,,,,
P303108,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,
P303109,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P303302,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0
P303303,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P303304,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,12.0,12.0,12.0
P303305,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
P303310,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,
P303315,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P303316,12.0,12.0,,,,,,,,,,
P303320,14.0,14.0,14.0,14.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P303321,15.0,15.0,,,,,,,,,,
P303322,10.0,10.0,10.0,10.0,,,,,,10.0,,
P303333,8.0,,,,8.0,,,,,,,
P303334,6.0,,,,,,,,,,,
P303336,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P303337,18.0,18.0,,,18.0,18.0,18.0,18.0,18.0,18.0,10.0,10.0
P303338,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P303340,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,
P303342,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P303343,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
P303409,18.0,18.0,18.0,18.0,,,,,,,,
P303500,19.0,19.0,19.0,19.0,,,,,,,,
P304200,7.25,9.5,9.5,9.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
P304704,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P304833,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P305114,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P305131,19.5,19.5,19.5,19.5,19.5,19.5,,,,19.5,15.0,15.0
P305132,18.5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P305318,17.0,,,,,,,,,,,
P305408,10.0,10.0,10.0,10.0,,,,,,,,
P306302,18.0,18.0,18.0,18.0,,,,,18.0,,,
P306402,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
P306403,10.0,,,,,,,,,,,
P306405,12.0,12.0,,12.0,12.0,12.0,12.0,,12.0,12.0,12.0,12.0
P306529,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P306534,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
P306535,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,7.25,7.25,7.25
P306600,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P306601,18.0,,,,,,,,,,,
P306807,17.5,17.5,17.5,17.5,17.5,17.5,18.0,18.0,18.0,18.0,18.0,18.0
P306808,17.5,17.5,17.5,17.5,17.5,17.5,18.0,18.0,18.0,18.0,18.0,18.0
P306809,17.5,17.5,17.5,17.5,17.5,17.5,18.0,18.0,18.0,18.0,18.0,18.0
P306810,17.5,17.5,17.5,17.5,17.5,17.5,18.0,18.0,18.0,18.0,18.0,18.0
P306838,15.0,15.0,15.0,15.0,15.0,17.5,17.5,17.5,17.5,17.5,,
P306867,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,,
P306900,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,
P306905,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P306907,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P306937,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P306939,10.0,10.0,10.0,,,,,,,,,
P307012,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,15.0,15.0,
P307200,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
P307306,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P307533,,12.0,12.0,,,,,,,,,
P307535,,8.0,8.0,,,,,,,16.0,,
P307536,,9.0,9.0,,,,,,,,,
P307537,,10.0,10.0,,,,,,,,,
P307538,,11.0,11.0,,,,,,,,,
P307539,,13.0,13.0,,,,,,,,,
P307540,,14.0,14.0,14.0,,,,,,,,
P307541,7.0,7.0,7.0,,7.0,,,,,7.0,,
P307543,,,,,,,,,,12.0,,
P307544,,,,,12.0,,,12.0,,12.0,,
P307545,14.0,14.0,,,14.0,,,,,14.0,,
P307546,,,,,12.0,,,,,12.0,,
P307550,,19.0,19.0,,,,,,,,,
P307557,,,,,,7.0,,,,,,
P307561,18.0,,,,,,,,,,,
P307567,,,,,12.0,,,,,12.0,,
P307589,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P307700,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,
P307901,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0
P307907,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,
P308006,9.5,9.5,9.5,9.5,,,,,,,,
P308007,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0,15.0
P308008,19.0,,,,,,,,,,,
P308009,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P308010,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P308011,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P308012,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P308013,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,
P308014,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,
P308102,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P308103,16.0,16.0,16.0,16.0,16.0,16.5,16.5,16.5,16.5,,,
P308106,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
P308118,10.0,10.0,10.0,,,,,,,,,
P308400,8.5,8.5,8.5,8.5,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P308502,5.0,5.0,5.0,5.0,,5.0,,,,,,
P308604,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,
P308612,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P308810,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P308917,16.0,16.0,16.0,16.0,,,,,,,,
P308920,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P308921,18.0,,,,,,,,,,,
P309131,,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P309135,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P309218,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
P309317,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P309320,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P309322,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P309338,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P309405,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P309813,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P309910,,,,,,,,,,19.0,,
P309913,6.0,,,,,,,,,,,
P309925,,,,,,,,,17.0,17.0,17.0,17.0
P309927,,,,,,,,,19.0,19.0,19.0,19.0
P309928,,,19.0,19.0,,,,,,,,
P310015,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P310020,19.0,19.0,19.0,19.0,19.0,19.0,,,19.0,19.0,19.0,19.0
P310205,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P310206,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P310305,,,,,8.0,,,,,,,
P310306,,,,,,,,,,14.5,14.5,
P310307,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P310308,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,
P310309,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P310310,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P310311,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,
P310312,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,
P310315,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
P310406,,,,,,,,,,17.0,,
P310408,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P310409,,,,,16.5,,,,,15.0,,
P310411,8.0,8.0,8.0,8.0,8.0,8.0,,,,8.0,,
P310413,14.0,12.0,7.5,10.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,14.0
P310414,,,,,,,,,19.0,19.0,19.0,
P310501,18.0,18.0,,18.0,,,,,,,,
P310603,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P310605,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,
P310709,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P310710,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
P310711,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
P310712,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P310713,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
P310714,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P310715,11.0,11.0,11.0,11.0,11.0,,,,11.0,11.0,11.0,11.0
P310717,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P310718,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P310720,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P310721,9.0,9.0,,,,9.0,9.0,,,9.0,,
P310722,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
P310731,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,
P310732,16.0,16.0,16.0,16.0,16.0,,,,16.0,16.0,16.0,16.0
P310733,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P310734,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5
P310736,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0
P310925,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
P311113,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
P311139,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
P311156,15.0,15.0,15.0,15.0,,,,,,,,
P311170,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,
P311173,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,,
P311174,16.0,16.0,16.0,16.0,16.0,16.0,,,16.0,16.0,16.0,16.0
P311183,19.0,19.0,19.0,19.0,,,,,,,,
P311209,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,,
P311212,12.0,12.0,12.0,12.0,,,,,,,,
P311503,15.0,15.0,15.0,15.0,,,,,,,,
P311504,12.0,12.0,,,,,,,,,,
P311806,16.0,16.0,16.0,16.0,16.0,,,,,,,
P311807,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
P311903,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,
P311904,16.0,,,,16.0,16.0,16.0,,16.0,16.0,16.0,16.0
P312004,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P312100,,,,,,14.5,14.5,,14.5,14.5,,
P312101,,,,,,,,,,15.0,,
P312102,15.0,15.0,15.0,15.0,15.0,,,,,15.0,,
P312109,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
P312110,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
P312111,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
P312113,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P312204,16.0,16.0,16.0,16.0,,,,,,,,
P312205,16.0,16.0,16.0,16.0,16.0,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P312206,16.0,16.0,16.0,16.0,16.0,16.5,16.5,16.5,16.5,16.5,16.5,16.5
P312207,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,
P312208,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,
P312403,16.0,16.0,,16.0,,,,,,,,
P312500,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P312902,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
P312903,,,,,,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P312904,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,
P312905,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
P312908,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P312909,14.0,14.0,14.0,14.0,,,,,,14.0,,
P312910,17.0,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,13.0
P312912,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P312914,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
P312916,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
P313003,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P313004,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
P313025,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P313028,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P313030,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P313031,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
P313033,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P313034,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P313035,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P313036,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P313037,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
P313038,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
P313039,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P313040,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
P313041,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
